http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	jrk_template	Phylum	Class	Order	Family	GENUS	COMMENT on genus	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Aquatic_habitat_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L39	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11000	Ascomycota	Arthoniomycetes	Arthoniales	Arthoniaceae	Staurospora		lichenized							non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			trentepohlioid	
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L40	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11001	Ascomycota	Arthoniomycetes	Arthoniales	Chrysotrichaceae	Galbinothrix		lichenized							non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L41	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11002	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Amylogalla		lichen_parasite	fungal_decomposer				fungal_material,algal_material		non-aquatic				apothecium_(hymenium_on_surface)	smooth				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L42	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11003	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Craspedodidymella		wood_saprotroph					wood		non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L43	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11004	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Crousobrauniella		plant_pathogen				leaf/fruit/seed_pathogen			non-aquatic		Shorea							
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L44	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11005	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Hyalodermella																		
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L45	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11006	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Saania		lichen_parasite	fungal_decomposer				fungal_material,algal_material		non-aquatic				perithecium_(hymenium_hidden,_narrow_opening)	closed				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L46	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11007	Ascomycota	Ascomycota class incertae sedis	Ascomycota order incertae sedis	Ascomycota family incertae sedis	Vizellopsidites	fossil	plant_pathogen				unspecified_plant_pathogen												
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L47	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11008	Ascomycota	Dothideomycetes	Asterinales	Asterinaceae	Asterostomella		plant_pathogen	foliar_endophyte		foliar_endophyte	leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L48	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11011	Ascomycota	Dothideomycetes	Botryosphaeriales	Planistromellaceae	Mycosphaerellopsis		litter_saprotroph					leaf/fruit/seed		non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L49	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11012	Ascomycota	Dothideomycetes	Botryosphaeriales	Planistromellaceae	Planistroma		litter_saprotroph	wood_saprotroph				wood,leaf/fruit/seed		non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L50	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11013	Ascomycota	Dothideomycetes	Capnodiales	Aeminiaceae	Aeminium		sooty_mold	litter_saprotroph				leaf/fruit/seed,sugar-rich_substrates	mold	non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L51	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11014	Ascomycota	Dothideomycetes	Capnodiales	Dissoconiaceae	Globoramichloridium												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L52	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11015	Ascomycota	Dothideomycetes	Capnodiales	Extremaceae	Paradevriesia												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L53	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11016	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Ceratosperma												filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L54	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11017	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Plurivorosphaerella		plant_pathogen				leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L55	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11018	Ascomycota	Dothideomycetes	Capnodiales	Phaeothecoidiellaceae	Nowamyces		plant_pathogen				leaf/fruit/seed_pathogen			non-aquatic		Eucalyptus 	filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L56	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Lawreya		lichen_parasite	fungal_decomposer				fungal_material,algal_material		non-aquatic			filamentous_mycelium	none	none				
